,Unnamed: 0,Unnamed: 1,Star_name,Distance,Mass,Radius,Gravity
83,83,KIC 8462852,DENIS J082303.1−491201A,67.0,44.0,,
84,84,R136a1,DENIS J082303.1−491201B,67.0,28.0,,2184906012924901.5
85,85,Melnick 42,2MASS J08251968+2115521 [de],35.0,52.0,0.98,1976297930176426.8
86,86,WR 102,SDSSp J083008.12+482847.4 [de],43.0,48.0,0.99,2685150046001900.5
87,87,VFTS 352,LHS 2021,55.0,88.0,1.15,2014173757207395.2
88,88,YBP 1194,SDSS J083048.80+012831.1 [de],77.0,46.0,0.96,2501919068430974.5
89,89,Gliese 1214,2MASSI J0835425-081923 [de],23.53,62.0,1.0,2582626135154554.0
90,90,NML Cygni,2MASSI J0847287-153237 [de],43.0,64.0,1.0,2713968092285635.0
91,91,VB 10,2MASS J08533619-0329321,27.6,77.0,1.07,2100871166273944.0
92,92,WOH G64,2MASSI J0859254-194926 [de],50.0,50.0,0.98,
93,93,TRAPPIST-1,2MASSW J0920122+351742 [de],95.0,,,1918117248975980.5
94,94,2MASS J0523-1403,2MASSI J0937347+293142,20.0,42.0,0.94,1430817803409725.5
95,95,WISE 0855−0714,2MASS 0939−2448,17.4,32.0,0.95,2145532915286138.8
96,96,Icarus,2MASS J09490860-1545485 [de],59.0,49.0,0.96,
